suburb,local_goverment_area,postcode
Chandada,Streaky Bay (District Council),5680
Inkster,Streaky Bay (District Council),5680
Mount Cooper,Streaky Bay (District Council),5671
Mortana,Streaky Bay (District Council),5671
Tyringa,Streaky Bay (District Council),5671
Perlubie,Streaky Bay (District Council),5680
Colley,Streaky Bay (District Council),5671
Yanerbie,Streaky Bay (District Council),5680
Maryvale,Streaky Bay (District Council),5680
Piednippie,Streaky Bay (District Council),5680
Chilpenunda,Streaky Bay (District Council),5660
Westall,Streaky Bay (District Council),5680
Haslam,Streaky Bay (District Council),5680
Wallala,Streaky Bay (District Council),5661
Witera,Streaky Bay (District Council),5671
Wirrulla,Streaky Bay (District Council),5661
Bordertown,Tatiara (District Council),5268
Mundulla,Tatiara (District Council),5270
Keith,Tatiara (District Council),5267
Cannawigara,Tatiara (District Council),5268
Wirrega,Tatiara (District Council),5267
Shaugh,Tatiara (District Council),5267
Laffer,Tatiara (District Council),5267
Petherick,Tatiara (District Council),5267
Sherwood,Tatiara (District Council),5267
Swede Flat,Tatiara (District Council),5270
Padthaway,Tatiara (District Council),5271
Wolseley,Tatiara (District Council),5269
Senior,Tatiara (District Council),5268
Willalooka,Tatiara (District Council),5267
Pine Hill,Tatiara (District Council),5269
Mundulla West,Tatiara (District Council),5270
Mount Charles,Tatiara (District Council),5267
Buckingham,Tatiara (District Council),5270
Kongal,Tatiara (District Council),5270
Carew,Tatiara (District Council),5270
Brimbago,Tatiara (District Council),5267
Lowan Vale,Tatiara (District Council),5268
Makin,Tatiara (District Council),5267
McCallum,Tatiara (District Council),5267
Pooginagoric,Tatiara (District Council),5268
Bangham,Tatiara (District Council),5268
Custon,Tatiara (District Council),5269
Western Flat,Tatiara (District Council),5268
Bordertown South,Tatiara (District Council),5268
Modbury North,Tea Tree Gully (City),5092
Modbury Heights,Tea Tree Gully (City),5092
Ridgehaven,Tea Tree Gully (City),5097
Redwood Park,Tea Tree Gully (City),5097
Surrey Downs,Tea Tree Gully (City),5126
Banksia Park,Tea Tree Gully (City),5091
Tea Tree Gully,Tea Tree Gully (City),5091
Golden Grove,Tea Tree Gully (City),5125
Yatala Vale,Tea Tree Gully (City),5126
Fairview Park,Tea Tree Gully (City),5126
Vista,Tea Tree Gully (City),5091
Highbury,Tea Tree Gully (City),5089
Wynn Vale,Tea Tree Gully (City),5127
Greenwith,Tea Tree Gully (City),5125
Modbury,Tea Tree Gully (City),5092
St Agnes,Tea Tree Gully (City),5097
Hope Valley,Tea Tree Gully (City),5090
Deepwater,The Coorong (District Council),5266
Tintinara,The Coorong (District Council),5266
Coonalpyn,The Coorong (District Council),5265
Peake,The Coorong (District Council),5301
Tailem Bend,The Coorong (District Council),5260
Sherlock,The Coorong (District Council),5301
Meningie,The Coorong (District Council),5264
Wellington East,The Coorong (District Council),5259
Lake Albert,The Coorong (District Council),5259
Narrung,The Coorong (District Council),5259
Netherton,The Coorong (District Council),5301
Elwomple,The Coorong (District Council),5260
Field,The Coorong (District Council),5265
Yumali,The Coorong (District Council),5261
Colebatch,The Coorong (District Council),5266
Waltowa,The Coorong (District Council),5264
Cooke Plains,The Coorong (District Council),5261
Culburra,The Coorong (District Council),5261
Poltalloch,The Coorong (District Council),5259
Malinong,The Coorong (District Council),5259
Ashville,The Coorong (District Council),5259
Bunbury,The Coorong (District Council),5266
Carcuma,The Coorong (District Council),5301
Coombe,The Coorong (District Council),5267
Coomandook,The Coorong (District Council),5261
Meningie East,The Coorong (District Council),5264
Ki Ki,The Coorong (District Council),5261
Moorlands,The Coorong (District Council),5301
Meningie West,The Coorong (District Council),5259
Salt Creek,The Coorong (District Council),5264
Brooker,Tumby Bay (District Council),5607
Koppio,Tumby Bay (District Council),5607
Port Neill,Tumby Bay (District Council),5604
Cockaleechie,Tumby Bay (District Council),5631
Ungarra,Tumby Bay (District Council),5607
Moody,Tumby Bay (District Council),5607
Butler,Tumby Bay (District Council),5605
Yallunda Flat,Tumby Bay (District Council),5607
Lipson,Tumby Bay (District Council),5607
Parkside,Unley (City),5063
Fullarton,Unley (City),5063
Myrtle Bank,Unley (City),5064
Highgate,Unley (City),5063
Malvern,Unley (City),5061
Unley,Unley (City),5061
Clarence Park,Unley (City),5034
Unley Park,Unley (City),5061
Hyde Park,Unley (City),5061
Everard Park,Unley (City),5035
Black Forest,Unley (City),5035
Millswood,Unley (City),5034
Goodwood,Unley (City),5034
Forestville,Unley (City),5035
Wayville,Unley (City),5034
Kings Park,Unley (City),5034
Keswick,Unley (City),5035
Encounter Bay,Victor Harbor (City),5211
Waitpinga,Victor Harbor (City),5211
Victor Harbor,Victor Harbor (City),5211
McCracken,Victor Harbor (City),5211
Hindmarsh Valley,Victor Harbor (City),5211
Lower Inman Valley,Victor Harbor (City),5211
Hindmarsh Tiers,Victor Harbor (City),5202
Inman Valley,Victor Harbor (City),5211
Back Valley,Victor Harbor (City),5211
Condowie,Wakefield (District Council),5464
Owen,Wakefield (District Council),5460
Lake View,Wakefield (District Council),5555
Hope Gap,Wakefield (District Council),5555
Nantawarra,Wakefield (District Council),5550
Inkerman,Wakefield (District Council),5550
Balaklava,Wakefield (District Council),5461
Burnsfield,Wakefield (District Council),5520
Bumbunga,Wakefield (District Council),5520
Snowtown,Wakefield (District Council),5520
Hart,Wakefield (District Council),5464
Kallora,Wakefield (District Council),5550
Stockyard Creek,Wakefield (District Council),5460
Kybunga,Wakefield (District Council),5453
Mount Templeton,Wakefield (District Council),5461
Everard Central,Wakefield (District Council),5461
Brinkworth,Wakefield (District Council),5464
Saints,Wakefield (District Council),5461
Beaufort,Wakefield (District Council),5550
Lochiel,Wakefield (District Council),5510
Marola,Wakefield (District Council),5464
Port Wakefield,Wakefield (District Council),5550
Proof Range,Wakefield (District Council),5550
Erith,Wakefield (District Council),5461
Blyth,Wakefield (District Council),5462
Bowmans,Wakefield (District Council),5550
Barunga Gap,Wakefield (District Council),5520
Pinery,Wakefield (District Council),5460
Watchman,Wakefield (District Council),5461
Whitwarta,Wakefield (District Council),5461
Avon,Wakefield (District Council),5501
Rochester,Wakefield (District Council),5464
Stow,Wakefield (District Council),5461
Bowillia,Wakefield (District Council),5461
Hoskin Corner,Wakefield (District Council),5461
Dalkey,Wakefield (District Council),5461
Goyder,Wakefield (District Council),5461
Vale Park,Walkerville (Municipality),5081
Gilberton,Walkerville (Municipality),5081
Walkerville,Walkerville (Municipality),5081
Medindie,Walkerville (Municipality),5081
Penola,Wattle Range (District Council),5277
Nangwarry,Wattle Range (District Council),5277
Kalangadoo,Wattle Range (District Council),5278
Moerlong,Wattle Range (District Council),5278
Krongart,Wattle Range (District Council),5278
Coonawarra,Wattle Range (District Council),5263
Glenroy,Wattle Range (District Council),5277
Monbulla,Wattle Range (District Council),5277
Wattle Range East,Wattle Range (District Council),5279
Maaoupe,Wattle Range (District Council),5277
Comaum,Wattle Range (District Council),5277
German Flat,Wattle Range (District Council),5280
Millicent,Wattle Range (District Council),5280
Sebastopol,Wattle Range (District Council),5280
Furner,Wattle Range (District Council),5280
Glencoe,Wattle Range (District Council),5291
Kangaroo Inn,Wattle Range (District Council),5280
Wattle Range,Wattle Range (District Council),5280
Beachport,Wattle Range (District Council),5280
Southend,Wattle Range (District Council),5280
Koorine,Wattle Range (District Council),5279
Short,Wattle Range (District Council),5279
Rocky Camp,Wattle Range (District Council),5280
Mount Burr,Wattle Range (District Council),5279
Magarey,Wattle Range (District Council),5280
Hatherleigh,Wattle Range (District Council),5280
Mount Mcintyre,Wattle Range (District Council),5279
Thornlea,Wattle Range (District Council),5280
Ashford,West Torrens (City),5035
Thebarton,West Torrens (City),5031
Marleston,West Torrens (City),5033
Richmond,West Torrens (City),5033
Hilton,West Torrens (City),5033
Mile End,West Torrens (City),5031
Cowandilla,West Torrens (City),5033
Mile End South,West Torrens (City),5031
Torrensville,West Torrens (City),5031
Kurralta Park,West Torrens (City),5037
Plympton,West Torrens (City),5038
North Plympton,West Torrens (City),5037
Keswick Terminal,West Torrens (City),5035
Fulham,West Torrens (City),5024
Novar Gardens,West Torrens (City),5040
Lockleys,West Torrens (City),5032
Underdale,West Torrens (City),5032
Brooklyn Park,West Torrens (City),5032
Camden Park,West Torrens (City),5038
Netley,West Torrens (City),5037
West Richmond,West Torrens (City),5033
Adelaide Airport,West Torrens (City),5950
Whyalla Norrie,Whyalla (City),5608
Whyalla Jenkins,Whyalla (City),5609
Flinders Ranges,Unincorporated,5434
Blinman,Unincorporated,5730
Flaxley,Mount Barker (District Council),5153
Mount Eba,Unincorporated,5723
Pelican Point,Grant (District Council),5291
North West Bend,Mid Murray (District Council),5320
Whyalla,Whyalla (City),5600
Whyalla Playford,Whyalla (City),5600
Poochera,Streaky Bay (District Council),5655
Ramco,Loxton Waikerie (District Council),5322
Whyalla Stuart,Whyalla (City),5608
Port Victoria,Yorke Peninsula (District Council),5573
Oakden Hills,Unincorporated,5713
Davenport,Port Augusta (City),5700
Warnes,Unincorporated,5417
Kokatha,Unincorporated,5717
Stansbury,Yorke Peninsula (District Council),5582
Innamincka,Unincorporated,5731
Reid,Gawler (Town),5118
Middleback Range,Unincorporated,5600
Wallerberdina,Unincorporated,5713
Edithburgh,Yorke Peninsula (District Council),5583
Corunna Station,Unincorporated,5715
Wirraminna,Unincorporated,5719
Wilgena,Unincorporated,5719
Kolendo,Unincorporated,5717
Jupiter Creek,Mount Barker (District Council),5153
Parachilna,Unincorporated,5730
Mingary,Unincorporated,5440
Lake Gairdner,Unincorporated,5717
Point Turton,Yorke Peninsula (District Council),5575
Leigh Creek,Unincorporated,5731
Normanville,Yankalilla (District Council),5204
Minlaton,Yorke Peninsula (District Council),5575
Lincoln Gap,Port Augusta (City),5715
Ardrossan,Yorke Peninsula (District Council),5571
Uno,Unincorporated,5717
Buckleboo,Kimba (District Council),5641
Lake Gilles,Unincorporated,5600
Port Bonython,Whyalla (City),5601
Mitchellville,Franklin Harbour (District Council),5602
Outer Harbor,Port Adelaide Enfield (City),5017
Port Vincent,Yorke Peninsula (District Council),5581
Bluff Beach,Yorke Peninsula (District Council),5575
Yorketown,Yorke Peninsula (District Council),5576
Coobowie,Yorke Peninsula (District Council),5583
Carrickalinga,Yankalilla (District Council),5204
Moseley,Kimba (District Council),5641
James Well,Yorke Peninsula (District Council),5571
Fowlers Bay,Unincorporated,5690
Macdonald Park,Playford (City),5121
Myponga,Yankalilla (District Council),5202
Wedge Island,Unincorporated,5606
Hardwicke Bay,Yorke Peninsula (District Council),5575
Olympic Dam,Unincorporated,5725
Black Point,Yorke Peninsula (District Council),5571
Willowie,Mount Remarkable (District Council),5431
Beltana,Unincorporated,5730
Nullarbor,Unincorporated,5690
Ingomar,Unincorporated,5723
The Pines,Yorke Peninsula (District Council),5577
Mahanewo,Unincorporated,5717
Arcoona,Unincorporated,5720
Midgee,Franklin Harbour (District Council),5602
Woomera,Unincorporated,5720
Maitland,Yorke Peninsula (District Council),5573
Manna Hill,Unincorporated,5440
Buchfelde,Light (Regional Council),5118
Murninnie Beach,Whyalla (City),5601
Mullaquana,Whyalla (City),5601
Rendelsham,Wattle Range (District Council),5280
Rogues Point,Yorke Peninsula (District Council),5571
Kingoonya,Unincorporated,5719
Lake Everard,Unincorporated,5717
Lyndhurst,Unincorporated,5733
Corny Point,Yorke Peninsula (District Council),5575
Pine Point,Yorke Peninsula (District Council),5571
Mount Hope,Lower Eyre Peninsula (District Council),5607
Wirrina Cove,Yankalilla (District Council),5204
Direk,Salisbury (City),5110
Wattle Flat,Yankalilla (District Council),5203
Yankalilla,Yankalilla (District Council),5203
Concordia,Barossa (District Council),5118
Holder,Loxton Waikerie (District Council),5330
Belton,Orroroo/Carrieton (District Council),5432
Mount Clarence Station,Unincorporated,5723
Mount Bryan East,Goyder (District Council),5419
Marion Bay,Yorke Peninsula (District Council),5575
Wandilo,Grant (District Council),5291
Collinsville,Goyder (District Council),5418
Willippa,Unincorporated,5432
Penong,Unincorporated,5690
Whyalla Barson,Whyalla (City),5601
William Creek,Unincorporated,5723
Clifton Hills Station,Unincorporated,5733
Mungeranie,Unincorporated,5733
Mount Serle,Unincorporated,5731
Warraweena,Unincorporated,5730
Quinyambie,Unincorporated,5440
Arkaroola Village,Unincorporated,5732
Lake Frome,Unincorporated,5440
Yumbarra,Unincorporated,5690
Florina Station,Unincorporated,5440
Bollards Lagoon,Unincorporated,5731
Gawler Ranges,Unincorporated,5717
Chowilla,Unincorporated,5341
Stuarts Creek,Unincorporated,5720
Andamooka Station,Unincorporated,5719
Wangary,Lower Eyre Peninsula (District Council),5607
Woodlane,Murray Bridge (Rural City),5254
Curramulka,Yorke Peninsula (District Council),5580
Clinton,Yorke Peninsula (District Council),5570
Price,Yorke Peninsula (District Council),5570
Ramsay,Yorke Peninsula (District Council),5575
Pearlah,Lower Eyre Peninsula (District Council),5607
Chaffey,Renmark Paringa (District Council),5341
Port Rickaby,Yorke Peninsula (District Council),5575
Sheaoak Flat,Yorke Peninsula (District Council),5581
Gammon Ranges,Unincorporated,5732
Laura Bay,Ceduna (District Council),5680
Yalata,Unincorporated,5690
Yellabinna,Unincorporated,5690
Poonindie,Lower Eyre Peninsula (District Council),5607
Forster,Mid Murray (District Council),5238
Tarcoola,Unincorporated,5701
Yunta,Unincorporated,5431
Yardea,Unincorporated,5717
Farina,Unincorporated,5733
Yantanabie,Streaky Bay (District Council),5661
Hammond,Mount Remarkable (District Council),5431
Moyhall,Naracoorte and Lucindale (District Council),5271
Murputja,Anangu Pitjantjatjara (Aboriginal Council),872
Pinkawillinie,Kimba (District Council),5641
Leasingham,Clare and Gilbert Valleys (District Council),5452
Nalyappa,Yorke Peninsula (District Council),5558
Oodnadatta,Unincorporated,5724
Pooginook,Loxton Waikerie (District Council),5330
Sedan,Mid Murray (District Council),5353
Gawler River,Light (Regional Council),5118
Kainton,Yorke Peninsula (District Council),5552
Taratap,Kingston (District Council),5275
Mundoo Island,Alexandrina (District Council),5214
Black Rock,Orroroo/Carrieton (District Council),5431
Danggali,Unincorporated,5417
Bockelberg,Streaky Bay (District Council),5655
Faraway Hill,Unincorporated,5417
Kanyaka,Flinders Ranges (District Council),5434
Eurelia,Orroroo/Carrieton (District Council),5431
Kalamurina,Unincorporated,5734
Cultana,Unincorporated,5600
Melton Station,Unincorporated,5440
Balgowan,Yorke Peninsula (District Council),5573
Crescent,Renmark Paringa (District Council),5341
Kanpi,Anangu Pitjantjatjara (Aboriginal Council),872
Bon Bon,Unincorporated,5719
Gidgealpa,Unincorporated,5731
Point Lowly,Whyalla (City),5601
Parawa,Yankalilla (District Council),5203
Delamere,Yankalilla (District Council),5204
Second Valley,Yankalilla (District Council),5204
Bald Hills,Yankalilla (District Council),5203
Torrens Vale,Yankalilla (District Council),5203
Rapid Bay,Yankalilla (District Council),5204
Cape Jervis,Yankalilla (District Council),5204
Silverton,Yankalilla (District Council),5204
Deep Creek,Yankalilla (District Council),5204
Hay Flat,Yankalilla (District Council),5204
Tunkalilla,Yankalilla (District Council),5203
Myponga Beach,Yankalilla (District Council),5202
Willow Creek,Yankalilla (District Council),5211
Arthurton,Yorke Peninsula (District Council),5572
Tiddy Widdy Beach,Yorke Peninsula (District Council),5571
Point Pearce,Yorke Peninsula (District Council),5573
Port Julia,Yorke Peninsula (District Council),5580
South Kilkerran,Yorke Peninsula (District Council),5573
Petersville,Yorke Peninsula (District Council),5571
Wauraltee,Yorke Peninsula (District Council),5573
Weetulta,Yorke Peninsula (District Council),5573
Urania,Yorke Peninsula (District Council),5573
Winulta,Yorke Peninsula (District Council),5570
Cunningham,Yorke Peninsula (District Council),5571
Koolywurtie,Yorke Peninsula (District Council),5575
Sandilands,Yorke Peninsula (District Council),5571
Clinton Centre,Yorke Peninsula (District Council),5570
Yorke Valley,Yorke Peninsula (District Council),5573
Sunnyvale,Yorke Peninsula (District Council),5552
Port Arthur,Yorke Peninsula (District Council),5552
Chinaman Wells,Yorke Peninsula (District Council),5573
Brentwood,Yorke Peninsula (District Council),5575
Dowlingville,Yorke Peninsula (District Council),5571
Agery,Yorke Peninsula (District Council),5558
Warooka,Yorke Peninsula (District Council),5577
Inneston,Yorke Peninsula (District Council),5577
White Hut,Yorke Peninsula (District Council),5575
Wool Bay,Yorke Peninsula (District Council),5575
Foul Bay,Yorke Peninsula (District Council),5577
Port Moorowie,Yorke Peninsula (District Council),5576
Point Souttar,Yorke Peninsula (District Council),5577
Honiton,Yorke Peninsula (District Council),5576
Sultana Point,Yorke Peninsula (District Council),5583
Torrens Island,Unincorporated,5960
Garden Island,Unincorporated,5960
Spectacle Lake,Unincorporated,5345
Gerard,Unincorporated,5343
Devlins Pound,Loxton Waikerie (District Council),5330
Iron Knob,Unincorporated,5601
Cockburn,Unincorporated,5440
Olary,Unincorporated,5440
Nepabunna,Unincorporated,5732
Copley,Unincorporated,5732
Marree,Unincorporated,5733
Moonaree,Unincorporated,5717
Andamooka,Unincorporated,5722
Island Lagoon,Unincorporated,5713
Glendambo,Unincorporated,5719
Lake Macfarlane,Unincorporated,5717
Lake Eyre,Unincorporated,5720
Pimba,Unincorporated,5720
Lake Torrens,Unincorporated,5713
Mount Willoughby,Unincorporated,5723
Marla,Unincorporated,5724
Old Calperum,Renmark Paringa (District Council),5341
German Creek,Grant (District Council),5291
Tootenilla,Lower Eyre Peninsula (District Council),5607
Kangaroo Flat,Light (Regional Council),5118
Dudley West,Kangaroo Island (District Council),5222
Ucolta,Peterborough (District Council),5422
Lockyer,Albany (City),6330
Orana,Albany (City),6330
Mount Melville,Albany (City),6330
Albany,Albany (City),6330
Yakamia,Albany (City),6330
Spencer Park,Albany (City),6330
Port Albany,Albany (City),6330
Mira Mar,Albany (City),6330
Mount Clarence,Albany (City),6330
Seppings,Albany (City),6330
Emu Point,Albany (City),6330
Kalgan,Albany (City),6330
Collingwood Park,Albany (City),6330
Centennial Park,Albany (City),6330
Middleton Beach,Albany (City),6330
Mount Elphinstone,Albany (City),6330
Torbay,Albany (City),6330
Kronkup,Albany (City),6330
Elleker,Albany (City),6330
Sandpatch,Albany (City),6330
McKail,Albany (City),6330
Little Grove,Albany (City),6330
Torndirrup,Albany (City),6330
Walmsley,Albany (City),6330
Bayonet Head,Albany (City),6330
Lower King,Albany (City),6330
Vancouver Peninsula,Albany (City),6330
Napier,Albany (City),6330
Nanarup,Albany (City),6330
Cheynes,Albany (City),6328
Green Range,Albany (City),6328
Mettler,Albany (City),6328
Wellstead,Albany (City),6328
Youngs Siding,Albany (City),6330
Boxwood Hill,Albany (City),6338
Bornholm,Albany (City),6330
Green Valley,Albany (City),6330
Gledhow,Albany (City),6330
Collingwood Heights,Albany (City),6330
Manypeaks,Albany (City),6328
South Stirling,Albany (City),6324
Gnowellen,Albany (City),6328
Lowlands,Albany (City),6330
Redmond West,Albany (City),6327
Marbelup,Albany (City),6330
Milpara,Albany (City),6330
Lange,Albany (City),6330
Drome,Albany (City),6330
Redmond,Albany (City),6327
Goode Beach,Albany (City),6330
Kojaneerup South,Albany (City),6328
Nullaki,Albany (City),6330
Millbrook,Albany (City),6330
Robinson,Albany (City),6330
Cuthbert,Albany (City),6330
Willyung,Albany (City),6330
Warrenup,Albany (City),6330
Big Grove,Albany (City),6330
Palmdale,Albany (City),6328
West Cape Howe,Albany (City),6330
King River,Albany (City),6330
Seville Grove,Armadale (City),6112
Armadale,Armadale (City),6112
Brookdale,Armadale (City),6112
Camillo,Armadale (City),6111
Kelmscott,Armadale (City),6111
Roleystone,Armadale (City),6111
Ashendon,Armadale (City),6111
Piara Waters,Armadale (City),6112
Forrestdale,Armadale (City),6112
Mount Richon,Armadale (City),6112
Mount Nasura,Armadale (City),6112
Bedfordale,Armadale (City),6112
Hilbert,Armadale (City),6112
Champion Lakes,Armadale (City),6111
Karragullen,Armadale (City),6111
Wungong,Armadale (City),6112
Haynes,Armadale (City),6112
Harrisdale,Armadale (City),6112
Lesley,Armadale (City),6111
Talandji,Ashburton (Shire),6710
Onslow,Ashburton (Shire),6711
Peedamulla,Ashburton (Shire),6711
Mardie,Ashburton (Shire),6714
Paraburdoo,Ashburton (Shire),6754
Tom Price,Ashburton (Shire),6751
Yannarie,Ashburton (Shire),6710
Barrow Island,Ashburton (Shire),6712
Chichester,Ashburton (Shire),6751
Mount Sheila,Ashburton (Shire),6751
Hamersley Range,Ashburton (Shire),6716
Rocklea,Ashburton (Shire),6751
Cane,Ashburton (Shire),6710
Nanutarra,Ashburton (Shire),6751
Innawanga,Ashburton (Shire),6751
Fortescue,Ashburton (Shire),6716
Millstream,Ashburton (Shire),6716
Boranup,Augusta-Margaret River (Shire),6286
Gnarabup,Augusta-Margaret River (Shire),6285
Redgate,Augusta-Margaret River (Shire),6286
Hamelin Bay,Augusta-Margaret River (Shire),6288
Deepdene,Augusta-Margaret River (Shire),6290
Margaret River,Augusta-Margaret River (Shire),6285
Leeuwin,Augusta-Margaret River (Shire),6290
Augusta,Augusta-Margaret River (Shire),6290
Bramley,Augusta-Margaret River (Shire),6285
Warner Glen,Augusta-Margaret River (Shire),6288
Treeton,Augusta-Margaret River (Shire),6284
Courtenay,Augusta-Margaret River (Shire),6288
Gracetown,Augusta-Margaret River (Shire),6284
Prevelly,Augusta-Margaret River (Shire),6285
Karridale,Augusta-Margaret River (Shire),6288
Cowaramup,Augusta-Margaret River (Shire),6284
Witchcliffe,Augusta-Margaret River (Shire),6286
Rosa Glen,Augusta-Margaret River (Shire),6285
Rosa Brook,Augusta-Margaret River (Shire),6285
Burnside,Augusta-Margaret River (Shire),6285
Molloy Island,Augusta-Margaret River (Shire),6290
Nillup,Augusta-Margaret River (Shire),6288
Alexandra Bridge,Augusta-Margaret River (Shire),6288
Schroeder,Augusta-Margaret River (Shire),6285
East Augusta,Augusta-Margaret River (Shire),6290
Osmington,Augusta-Margaret River (Shire),6285
Forest Grove,Augusta-Margaret River (Shire),6286
Scott River,Augusta-Margaret River (Shire),6288
Kudardup,Augusta-Margaret River (Shire),6290
Baudin,Augusta-Margaret River (Shire),6284
Bassendean,Bassendean (Town),6054
Ashfield,Bassendean (Town),6054
Eden Hill,Bassendean (Town),6054
Bedford,Bayswater (City),6052
Morley,Bayswater (City),6062
Maylands,Bayswater (City),6051
Bayswater,Bayswater (City),6053
Embleton,Bayswater (City),6062
Noranda,Bayswater (City),6062
Mount Lawley,Bayswater (City),6050
Rivervale,Belmont (City),6103
Kewdale,Belmont (City),6105
Belmont,Belmont (City),6104
Cloverdale,Belmont (City),6105
Redcliffe,Belmont (City),6104
Ascot,Belmont (City),6104
Dale,Beverley (Shire),6304
Westdale,Beverley (Shire),6304
East Beverley,Beverley (Shire),6304
Beverley,Beverley (Shire),6304
Talbot West,Beverley (Shire),6302
Bally Bally,Beverley (Shire),6304
Morbinning,Beverley (Shire),6304
Kokeby,Beverley (Shire),6304
Flint,Beverley (Shire),6302
Boddington,Boddington (Shire),6390
Marradong,Boddington (Shire),6390
Bannister,Boddington (Shire),6390
Wuraming,Boddington (Shire),6390
Lower Hotham,Boddington (Shire),6390
Upper Murray,Boddington (Shire),6390
Quindanning,Boddington (Shire),6391
Crossman,Boddington (Shire),6390
Ranford,Boddington (Shire),6390
McAlinden,Boyup Brook (Shire),6225
Boyup Brook,Boyup Brook (Shire),6244
Kulikup,Boyup Brook (Shire),6244
Scotts Brook,Boyup Brook (Shire),6244
Wilga,Boyup Brook (Shire),6243
Benjinup,Boyup Brook (Shire),6255
Dinninup,Boyup Brook (Shire),6244
Chowerup,Boyup Brook (Shire),6244
Tonebridge,Boyup Brook (Shire),6244
Mayanup,Boyup Brook (Shire),6244
Bridgetown,Bridgetown-Greenbushes (Shire),6255
Winnejup,Bridgetown-Greenbushes (Shire),6255
Greenbushes,Bridgetown-Greenbushes (Shire),6254
Catterick,Bridgetown-Greenbushes (Shire),6255
North Greenbushes,Bridgetown-Greenbushes (Shire),6254
Hester Brook,Bridgetown-Greenbushes (Shire),6255
Wandillup,Bridgetown-Greenbushes (Shire),6256
Sunnyside,Bridgetown-Greenbushes (Shire),6256
Glenlynn,Bridgetown-Greenbushes (Shire),6256
Hester,Bridgetown-Greenbushes (Shire),6255
Yornup,Bridgetown-Greenbushes (Shire),6256
Kangaroo Gully,Bridgetown-Greenbushes (Shire),6255
Maranup,Bridgetown-Greenbushes (Shire),6256
Kingston,Bridgetown-Greenbushes (Shire),6256
Jelcobine,Brookton (Shire),6306
Aldersyde,Brookton (Shire),6306
Brookton,Brookton (Shire),6306
Kweda,Brookton (Shire),6306
Lagrange,Broome (Shire),6725
Dampier Peninsula,Broome (Shire),6725
Roebuck,Broome (Shire),6725
Cable Beach,Broome (Shire),6726
Broome,Broome (Shire),6725
Djugun,Broome (Shire),6725
Waterbank,Broome (Shire),6725
Minyirr,Broome (Shire),6725
Bilingurr,Broome (Shire),6725
Gingerah,Broome (Shire),6725
Eighty Mile Beach,Broome (Shire),6725
Broomehill West,Broomehill-Tambellup (Shire),6318
Broomehill East,Broomehill-Tambellup (Shire),6318
Broomehill Village,Broomehill-Tambellup (Shire),6318
Shackleton,Bruce Rock (Shire),6386
Babakin,Bruce Rock (Shire),6428
Ardath,Bruce Rock (Shire),6419
Bruce Rock,Bruce Rock (Shire),6418
Kwolyin,Bruce Rock (Shire),6385
South Bunbury,Bunbury (City),6230
Withers,Bunbury (City),6230
Usher,Bunbury (City),6230
Bunbury,Bunbury (City),6230
Carey Park,Bunbury (City),6230
College Grove,Bunbury (City),6230
East Bunbury,Bunbury (City),6230
Glen Iris,Bunbury (City),6230
Pelican Point,Bunbury (City),6230
Vittoria,Bunbury (City),6230
Picton,Bunbury (City),6229
Davenport,Bunbury (City),6230
Vasse,Busselton (City),6280
Yallingup,Busselton (City),6282
Naturaliste,Busselton (City),6281
Yelverton,Busselton (City),6280
Dunsborough,Busselton (City),6281
Metricup,Busselton (City),6280
Quindalup,Busselton (City),6281
Jindong,Busselton (City),6280
Abbey,Busselton (City),6280
Broadwater,Busselton (City),6280
West Busselton,Busselton (City),6280
Acton Park,Busselton (City),6280
Busselton,Busselton (City),6280
Kalgup,Busselton (City),6280
Geographe,Busselton (City),6280
Sabina River,Busselton (City),6280
Yoongarillup,Busselton (City),6280
Hithergreen,Busselton (City),6280
Reinscourt,Busselton (City),6280
Walsall,Busselton (City),6280
Wonnerup,Busselton (City),6280
Ruabon,Busselton (City),6280
Jarrahwood,Busselton (City),6275
North Jindong,Busselton (City),6280
Kaloorup,Busselton (City),6280
Chapman Hill,Busselton (City),6280
Carbunup River,Busselton (City),6280
Kealy,Busselton (City),6280
Ludlow,Busselton (City),6280
Boallia,Busselton (City),6280
Ambergate,Busselton (City),6280
Yalyalup,Busselton (City),6280
Bovell,Busselton (City),6280
Wilyabrup,Busselton (City),6280
Quedjinup,Busselton (City),6281
Eagle Bay,Busselton (City),6281
Yallingup Siding,Busselton (City),6282
Marybrook,Busselton (City),6280
Abba River,Busselton (City),6280
Tutunup,Busselton (City),6280
Anniebrook,Busselton (City),6280
Yoganup,Busselton (City),6275
City Beach,Cambridge (Town),6015
Mount Claremont,Cambridge (Town),6010
Wembley,Cambridge (Town),6014
Floreat,Cambridge (Town),6014
West Leederville,Cambridge (Town),6007
Jolimont,Cambridge (Town),6014
Subiaco,Cambridge (Town),6008
Wembley Downs,Cambridge (Town),6015
Rossmoyne,Canning (City),6148
Willetton,Canning (City),6155
Shelley,Canning (City),6148
Riverton,Canning (City),6148
Bentley,Canning (City),6102
Wilson,Canning (City),6107
Parkwood,Canning (City),6147
Canning Vale,Canning (City),6155
St James,Canning (City),6102
Ferndale,Canning (City),6148
Lynwood,Canning (City),6147
East Cannington,Canning (City),6107
Queens Park,Canning (City),6107
Cannington,Canning (City),6107
Welshpool,Canning (City),6106
Leeming,Canning (City),6149
Dalyellup,Capel (Shire),6230
